requestday,pagetype,date,bucket,count
1406419200,Page2,1406435100,475.0,1
1406419200,Page2,1406435100,500.0,2
1406419200,Page2,1406435100,525.0,1
1406419200,Page2,1406435100,575.0,2
1406419200,Page2,1406435100,625.0,1
1406419200,Page2,1406435100,650.0,2
1406419200,Page2,1406435100,675.0,1
1406419200,Page2,1406435100,725.0,4
1406419200,Page2,1406435100,775.0,2
1406419200,Page2,1406435100,800.0,1
1406419200,Page2,1406435100,850.0,1
1406419200,Page2,1406435100,875.0,2
1406419200,Page2,1406435100,900.0,5
1406419200,Page2,1406435100,925.0,4
1406419200,Page2,1406435100,950.0,1
1406419200,Page2,1406435100,975.0,2
1406419200,Page2,1406435100,1000.0,2
1406419200,Page2,1406435100,1025.0,2
1406419200,Page2,1406435100,1050.0,1
1406419200,Page2,1406435100,1075.0,1
1406419200,Page2,1406435100,1150.0,1
1406419200,Page2,1406435100,1175.0,2
1406419200,Page2,1406435100,1200.0,1
1406419200,Page2,1406435100,1225.0,1
1406419200,Page2,1406435100,1250.0,5
1406419200,Page2,1406435100,1275.0,1
1406419200,Page2,1406435100,1300.0,1
1406419200,Page2,1406435100,1325.0,2
1406419200,Page2,1406435100,1350.0,3
1406419200,Page2,1406435100,1375.0,5
1406419200,Page2,1406435100,1425.0,2
1406419200,Page2,1406435100,1450.0,5
1406419200,Page2,1406435100,1475.0,1
1406419200,Page2,1406435100,1500.0,4
1406419200,Page2,1406435100,1525.0,2
1406419200,Page2,1406435100,1600.0,1
1406419200,Page2,1406435100,1625.0,3
1406419200,Page2,1406435100,1650.0,3
1406419200,Page2,1406435100,1675.0,2
1406419200,Page2,1406435100,1725.0,1
1406419200,Page2,1406435100,1750.0,2
1406419200,Page2,1406435100,1775.0,2
1406419200,Page2,1406435100,1800.0,2
1406419200,Page2,1406435100,1850.0,1
1406419200,Page2,1406435100,1875.0,2
1406419200,Page2,1406435100,1900.0,1
1406419200,Page2,1406435100,1950.0,4
1406419200,Page2,1406435100,2025.0,4
1406419200,Page2,1406435100,2075.0,1
1406419200,Page2,1406435100,2100.0,1
1406419200,Page2,1406435100,2125.0,1
1406419200,Page2,1406435100,2175.0,3
1406419200,Page2,1406435100,2200.0,4
1406419200,Page2,1406435100,2225.0,2
1406419200,Page2,1406435100,2250.0,2
1406419200,Page2,1406435100,2275.0,2
1406419200,Page2,1406435100,2325.0,2
1406419200,Page2,1406435100,2375.0,2
1406419200,Page2,1406435100,2400.0,1
1406419200,Page2,1406435100,2475.0,1
1406419200,Page2,1406435100,2500.0,1
1406419200,Page2,1406435100,2525.0,1
1406419200,Page2,1406435100,2550.0,1
1406419200,Page2,1406435100,2575.0,1
1406419200,Page2,1406435100,2600.0,3
1406419200,Page2,1406435100,2625.0,1
1406419200,Page2,1406435100,2650.0,2
1406419200,Page2,1406435100,2725.0,1
1406419200,Page2,1406435100,2750.0,1
1406419200,Page2,1406435100,2775.0,1
1406419200,Page2,1406435100,2800.0,2
1406419200,Page2,1406435100,2825.0,1
1406419200,Page2,1406435100,2850.0,1
1406419200,Page2,1406435100,2875.0,1
1406419200,Page2,1406435100,2900.0,2
1406419200,Page2,1406435100,2950.0,1
1406419200,Page2,1406435100,2975.0,1
1406419200,Page2,1406435100,3100.0,1
1406419200,Page2,1406435100,3125.0,1
1406419200,Page2,1406435100,3150.0,3
1406419200,Page2,1406435100,3175.0,2
1406419200,Page2,1406435100,3200.0,1
1406419200,Page2,1406435100,3275.0,2
1406419200,Page2,1406435100,3325.0,1
1406419200,Page2,1406435100,3375.0,2
1406419200,Page2,1406435100,3400.0,1
1406419200,Page2,1406435100,3500.0,1
1406419200,Page2,1406435100,3525.0,1
1406419200,Page2,1406435100,3600.0,1
1406419200,Page2,1406435100,3700.0,1
1406419200,Page2,1406435100,3750.0,2
1406419200,Page2,1406435100,3800.0,1
1406419200,Page2,1406435100,3900.0,1
1406419200,Page2,1406435100,3925.0,1
1406419200,Page2,1406435100,4075.0,2
1406419200,Page2,1406435100,4150.0,1
1406419200,Page2,1406435100,4300.0,3
1406419200,Page2,1406435100,4325.0,1
1406419200,Page2,1406435100,4400.0,1
1406419200,Page2,1406435100,4425.0,1
1406419200,Page2,1406435100,4725.0,1
1406419200,Page2,1406435100,4800.0,2
1406419200,Page2,1406435100,5050.0,1
1406419200,Page2,1406435100,5075.0,1
1406419200,Page2,1406435100,5125.0,1
1406419200,Page2,1406435100,5150.0,1
1406419200,Page2,1406435100,5550.0,1
1406419200,Page2,1406435100,5950.0,1
1406419200,Page2,1406435100,5975.0,2
1406419200,Page2,1406435100,6125.0,1
1406419200,Page2,1406435100,6250.0,1
1406419200,Page2,1406435100,6350.0,1
1406419200,Page2,1406435100,6500.0,1
1406419200,Page2,1406435100,6625.0,1
1406419200,Page2,1406435100,6800.0,1
1406419200,Page2,1406435100,6900.0,1
1406419200,Page2,1406435100,6975.0,1
1406419200,Page2,1406435100,7675.0,1
1406419200,Page2,1406435100,8400.0,1
1406419200,Page2,1406435100,8425.0,1
1406419200,Page2,1406435100,8600.0,1
1406419200,Page2,1406435100,8900.0,1
1406419200,Page2,1406435100,8975.0,1
1406419200,Page2,1406435100,9475.0,1
1406419200,Page2,1406435100,9600.0,1
1406419200,Page2,1406435100,10000.0,10
1406419200,Page2,1406435400,250.0,1
1406419200,Page2,1406435400,325.0,1
1406419200,Page2,1406435400,400.0,1
1406419200,Page2,1406435400,425.0,1
1406419200,Page2,1406435400,450.0,1
1406419200,Page2,1406435400,500.0,1
1406419200,Page2,1406435400,525.0,1
1406419200,Page2,1406435400,575.0,1
1406419200,Page2,1406435400,600.0,1
1406419200,Page2,1406435400,625.0,1
1406419200,Page2,1406435400,650.0,2
1406419200,Page2,1406435400,700.0,3
1406419200,Page2,1406435400,725.0,1
1406419200,Page2,1406435400,775.0,1
1406419200,Page2,1406435400,800.0,3
1406419200,Page2,1406435400,825.0,4
1406419200,Page2,1406435400,875.0,3
1406419200,Page2,1406435400,900.0,3
1406419200,Page2,1406435400,925.0,4
1406419200,Page2,1406435400,950.0,4
1406419200,Page2,1406435400,975.0,3
1406419200,Page2,1406435400,1000.0,5
1406419200,Page2,1406435400,1025.0,2
1406419200,Page2,1406435400,1050.0,4
1406419200,Page2,1406435400,1075.0,4
1406419200,Page2,1406435400,1150.0,1
1406419200,Page2,1406435400,1175.0,2
1406419200,Page2,1406435400,1200.0,1
1406419200,Page2,1406435400,1225.0,2
1406419200,Page2,1406435400,1275.0,2
1406419200,Page2,1406435400,1325.0,3
1406419200,Page2,1406435400,1350.0,1
1406419200,Page2,1406435400,1375.0,2
1406419200,Page2,1406435400,1425.0,1
1406419200,Page2,1406435400,1475.0,2
1406419200,Page2,1406435400,1500.0,1
1406419200,Page2,1406435400,1525.0,3
1406419200,Page2,1406435400,1550.0,1
1406419200,Page2,1406435400,1575.0,1
1406419200,Page2,1406435400,1600.0,2
